id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5735220,0,"Ebenezer Solacen ",https://angel.co/ebenezer-solacen,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5735220-436faea9f1a275bd2f0fc95047ccc4b5-medium_jpg.jpg?buster=1526323060,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5735220-436faea9f1a275bd2f0fc95047ccc4b5-thumb_jpg.jpg?buster=1526323060,0,"Communities, individuals, organizations, schools, churches We listen  and then let the difficulty of the client be our starting point to build feedback and help and mentor, solve clients problem. .
In addition the body and mind work together thus repressed emotions,frowns,discomfort.Through increased self-awareness clients are enabled to shift physical discomfort to and become more resilient.
 ESPC  has ensured through its vision to entirely ensure that all walks of people that approach it end up getting a new and modified life ,improved health, higher quality life and increased life spans.
Relationship and couples therapy,Organizational and group therapy,Online and telephone therapy.We help stress,anxiety,health counsel that is HIV,marital counsel, relationship difficulties,infertility,life transitions, eating disorders,Peer counseling,reproductive health,child upbringing, infant child Nutrition,circumcision,immunization,organizational group counsel.
Business counsel and training.",".Our approach is to listen, hear, allow time then asses patient it’s a two way approach",2,http://www.kennochaeventsmanagement.com,2018-05-14T18:04:20.000Z,2018-05-14T18:38:14.000Z,,"http://twitter.com/masaba florence",,"http://facebook.com/ebenezersolacen psychological consultants","http://linkedin.com/masaba florence",,"Health Care Information Technology, Personal Health, Health and Wellness, Healthcare Services",Kampala,11-50,"Health And Medicine",,
5727332,0,"Youlight technology solution",https://angel.co/youlight-technology-solution-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5727332-bdb2566c4f603493696880f91c5717f8-medium_jpg.jpg?buster=1526139301,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5727332-bdb2566c4f603493696880f91c5717f8-thumb_jpg.jpg?buster=1526139301,0,"Our Solar pumps perform equally well in irrigation projects and for wide area of drinking water applications where they reliably and economically  meet the most demanding requirements.
Solar refrigerators are specially designed for off-grid solar powered applications including medical clinics,micro-enterprises, camps and residential homes. 
Our next generation of solar water pumps are designed to deliver the highest volume of water across a wide range of lifts. Solar water pumps perform equally well in irrigation projects and for wide area of drinking water applications where they reliably meet the most demanding requirements, economically and without the use of fossil fuels or a grid connection.
Our solar modules are well equipped to meet every need, no matter what it might look like, or where it might be. With us you can be sure that even after a quarter of a century, our solar systems will still meet or exceed your expectations"," leading renewable energy and water solutions provider in East Africa. ",1,https://youlighttechnologies.wordpress.com,2018-05-12T15:35:01.000Z,2018-05-12T15:47:39.000Z,,,,,,,"Mobile, Hardware, Ecommerce",Jinja,,,,
5717634,0,"Tatu Africa",https://angel.co/tatu-africa-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5717634-9f21af03525ebe9ea9da3726c6ae55cf-medium_jpg.jpg?buster=1525944922,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5717634-9f21af03525ebe9ea9da3726c6ae55cf-thumb_jpg.jpg?buster=1525944922,0,"Tatu Africa provides a robust multiplatform product powered by deep learning neural networks. Our platform is built to enhance the overall quality of life in the African continent - through on-demand applications, SME services, decentralized biometric solutions, fintech solutions, and Africa Token a hybrid stablecoin cryptocurrency.

Additionally, Tatu Solved - our decentralized NGO component seeks to connect communities, companies, and individuals to create innovative solutions to end long-standing issues that plague the African continent.","Tony Starks AI JARVIS and GoJek for Africa",1,https://www.tatu-africa.com,2018-05-10T09:35:23.000Z,2018-05-10T09:56:06.000Z,,https://twitter.com/TatuAfrica_,,,https://www.linkedin.com/company/tatu-africa/,,"Application Platforms, Biometrics, Deep Learning, Blockchain / Cryptocurrency",Kampala,1-10,,,
5706600,0,MassPass,https://angel.co/masspass,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5706600-ecf110a53a16f8bd5653cb602d80e5f8-medium_jpg.jpg?buster=1525772949,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5706600-ecf110a53a16f8bd5653cb602d80e5f8-thumb_jpg.jpg?buster=1525772949,0,"Linking students to skilled and experienced teachers. MassPass, an EdTech platform owned by MassPass Limited, is pleased to present this proposal for your review and consideration. We look forward to partnering with to provide a knowledge intervention program for our students without access to skilled and experienced teachers to succeed.

The objective of MassPass platform is to:	

To promote student’s access to skilled and experienced teachers thus increasing the quality education in country 

To improve socio-economic conditions of students from under privileged communities and other marginalized groups
	
To work towards the achievement of equal opportunities and rights towards quality education	

To collect and disseminate educational content and information throughout the country.","Revolutionalising education using technology.",1,http://www.mass-pass.com/,2018-05-08T09:49:10.000Z,2018-05-08T09:49:10.000Z,,,,,,,"Education, Application Platforms, Education Technology, E Learn",Kampala,,,,
5696179,0,MM-iCT,https://angel.co/mydhe-media-ict-limited-mm-ict,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5696179-843cafbc3df226de468450e2fc72aadb-medium_jpg.jpg?buster=1525551983,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5696179-843cafbc3df226de468450e2fc72aadb-thumb_jpg.jpg?buster=1525551983,0,"IT & IT Enabled Services Support and Development","The ICT Hub -UG",4,http://mmict.ug/,2018-05-05T20:26:26.000Z,2018-05-05T20:57:03.000Z,,,,https://web.facebook.com/ICThubUG/,https://www.linkedin.com/company/mydhe-media-limited/,,"Mobile, E-Commerce, Health and Wellness, Web Development",Kampala,1-10,It,,
5681501,0,SEMA,https://angel.co/sema-3,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5681501-1c64d9ab3c00b3ae6b9699c81dd79dc8-medium_jpg.jpg?buster=1525269107,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5681501-1c64d9ab3c00b3ae6b9699c81dd79dc8-thumb_jpg.jpg?buster=1525269107,0,"SEMA is a not-for-profit enterprise that helps governments to develop effective, accountable and transparent institutions to achieve SDG 16.6. We collect citizen feedback data on public service delivery through low-key technologies, at the point of interaction. As a result, we deliver short, actionable, monthly data reports to service providers that can help them develop user-friendly services and monitor real-time satisfaction at their offices. 

The tech we're currently piloting in Kampala are IVR (interactive voice response) and IoT rating devices. The hardware we are developing, testing and wanting to scale is similiar to happy-or-not button devices that allow people to give a rating at a scale from 1 to 5. We produce these locally and at a much lower cost so they can be scaled to rural areas in Africa and made affordable. To date we have collected over 1500 feedback reports. We are testing in partnership with the Ugandan MoJ at 10+ police offices, courts and registration bureaus.","Customer satisfaction for public services in East Africa",2,http://www.talktosema.og,2018-05-02T13:39:35.000Z,2018-05-02T14:35:02.000Z,,http://twitter.com/@talktosema,,http://facebook.com/Talktosema,,,"Big Data, Customer Service, Government Innovation, Social Enterprise","Amsterdam, Kampala",11-50,"Social Enterprise",,
5660119,0,"Hatel Technologies",https://angel.co/hatel-technologies-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5660119-e7f7f5a11687293b8ea5a18ddf41e8a0-medium_jpg.jpg?buster=1524827697,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5660119-e7f7f5a11687293b8ea5a18ddf41e8a0-thumb_jpg.jpg?buster=1524827697,0,"Fortiemart is an  online  web portal powered by hatel technologies LTD Uganda with an aim of  easing access of to all businesses  platforms in Uganda. Claim your free business listing on  http://fortiemart.com/ and add important information about your business online. The more reviews and additional information you provide about your business, the easier it will be for customers to find you online.
It gives you a chance to advertise,search,buy,sell and lease online.","Business directory with all local guides in uganda",1,http://www.hateltechnologies.com/,2018-04-27T11:14:58.000Z,2018-04-27T11:24:10.000Z,,,,,,,"Real Estate, E-Commerce, Local Businesses, Events Services","Fort Portal",,,,
5638581,0,"Kasese Humanist Schools",https://angel.co/kasese-humanist-schools,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5638581-c7cd77057467aa538b2aa168961583d3-medium_jpg.jpg?buster=1524478238,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5638581-c7cd77057467aa538b2aa168961583d3-thumb_jpg.jpg?buster=1524478238,0,"I own a string of schools under the trade name of Kasese Humanist Schools.

Runs an orphanage,  Hostel and cultivable farmlands","Partner with Kasese Humanist and we improve the world",1,http://kasesehumanistschool.webs.com,2018-04-23T10:10:38.000Z,2018-04-23T10:38:56.000Z,,twitter.com/http://kuhauganda,http://kaseseunitedhumanistassociation.blogspot.ug/,https://www.facebook.com/bwambale.robert,,,Education,Kasese,51-200,,,
5618635,0,COSEF,https://angel.co/cosef-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5618635-3d0912f7fc1fb517f493f1c03b811045-medium_jpg.jpg?buster=1524058053,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5618635-3d0912f7fc1fb517f493f1c03b811045-thumb_jpg.jpg?buster=1524058053,0,,"Investing in growth companies, Creating impact",1,http://www.cosefuganda.org,2018-04-18T13:27:34.000Z,2018-04-18T13:31:25.000Z,,,,,,,"Clean Technology, Agriculture, Financial Technology",Uganda,1-10,,,
5574672,0,"Serendipity Holiday Resort",https://angel.co/serendipity-holiday-resort,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5574672-d7cdfcdd93a0a6e1e1d2ed5e5dbc47b4-medium_jpg.jpg?buster=1523282251,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5574672-d7cdfcdd93a0a6e1e1d2ed5e5dbc47b4-thumb_jpg.jpg?buster=1523282251,0,"Offering 40% Equity for £600,000 Investment
http://serendipity.holiday/invest/

My name is Steve Stachini and I am English, my wife Charity is Ugandan and we aim to combine the authenticity of Africa with a European mix of style, quality and service for a luxury island holiday resort. I have produced a mock up website which provides a feel for the end product... The Ultimate Lake Victoria Experience.

The complex will initially comprise of 6 Pod style accommodation units for those on a budget, 4 African Apartments and 4 Luxury Apartments, Restaurant, 3 Outside Undercover Lounge Areas, Beach Bars, 3 Small Swimming Pools, African Shop and Wedding/Conference Suite plus outdoor Event Area. Plus 4 small staff accommodation properties and a few storage out buildings.","Holiday Resort New Development",1,http://serendipity.holiday/invest/,2018-04-09T13:57:32.000Z,2018-04-09T14:01:10.000Z,,,,,,,"Hotels, Leisure, Travel & Tourism",Uganda,,,,
